,発注日,商品番号,商品名,単価,在庫,注文数,カテゴリー
0,2016-03-06,YY4HAAZR,商品サンプル YY4HAAZR,780,20,24,弁当
1,2017-05-31,YY4HAAZR,商品サンプル YY4HAAZR,780,10,0,弁当
2,2021-12-11,YY4HAAZR,商品サンプル YY4HAAZR,780,50,36,弁当
3,2016-09-15,YY4HAAZR,商品サンプル YY4HAAZR,780,5,54,弁当
4,2024-01-18,YY4HAAZR,商品サンプル YY4HAAZR,780,20,24,弁当
5,2018-12-28,YY4HAAZR,商品サンプル YY4HAAZR,780,0,42,弁当
6,2015-12-05,YY4HAAZR,商品サンプル YY4HAAZR,780,50,18,弁当
7,2015-02-01,YY4HAAZR,商品サンプル YY4HAAZR,780,10,60,弁当
8,2024-07-29,YY4HAAZR,商品サンプル YY4HAAZR,780,5,48,弁当
9,2024-10-14,YY4HAAZR,商品サンプル YY4HAAZR,780,25,42,弁当
10,2021-07-31,YY4HAAZR,商品サンプル YY4HAAZR,780,25,30,弁当
11,2015-07-05,YY4HAAZR,商品サンプル YY4HAAZR,780,50,18,弁当
12,2017-03-08,YY4HAAZR,商品サンプル YY4HAAZR,780,10,42,弁当
13,2023-04-25,YY4HAAZR,商品サンプル YY4HAAZR,780,20,18,弁当
14,2024-04-23,YY4HAAZR,商品サンプル YY4HAAZR,780,50,6,弁当
15,2017-05-16,YY4HAAZR,商品サンプル YY4HAAZR,780,40,60,弁当
16,2018-06-23,YY4HAAZR,商品サンプル YY4HAAZR,780,35,18,弁当
17,2015-03-27,Z4WOOIYV,商品サンプル Z4WOOIYV,90,45,12,飲料水
18,2024-04-12,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,24,飲料水
19,2020-05-08,Z4WOOIYV,商品サンプル Z4WOOIYV,90,10,36,飲料水
20,2022-03-21,Z4WOOIYV,商品サンプル Z4WOOIYV,90,15,54,飲料水
21,2023-12-16,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,6,飲料水
22,2024-08-29,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,0,飲料水
23,2023-11-07,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,48,飲料水
24,2020-05-03,Z4WOOIYV,商品サンプル Z4WOOIYV,90,20,42,飲料水
25,2022-10-24,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,24,飲料水
26,2017-10-09,Z4WOOIYV,商品サンプル Z4WOOIYV,90,45,54,飲料水
27,2023-12-30,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,12,飲料水
28,2022-09-06,Z4WOOIYV,商品サンプル Z4WOOIYV,90,10,6,飲料水
29,2021-12-11,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,0,飲料水
30,2016-11-07,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,30,飲料水
31,2020-02-12,Z4WOOIYV,商品サンプル Z4WOOIYV,90,50,24,飲料水
32,2018-12-05,Z4WOOIYV,商品サンプル Z4WOOIYV,90,25,0,飲料水
33,2018-06-25,Z4WOOIYV,商品サンプル Z4WOOIYV,90,30,12,飲料水
34,2016-02-21,Z4WOOIYV,商品サンプル Z4WOOIYV,90,20,60,飲料水
35,2023-12-10,Z4WOOIYV,商品サンプル Z4WOOIYV,90,35,30,飲料水
36,2019-04-05,Z4WOOIYV,商品サンプル Z4WOOIYV,90,0,42,飲料水
37,2016-01-30,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,48,飲料水
38,2023-10-19,Z4WOOIYV,商品サンプル Z4WOOIYV,90,5,24,飲料水
39,2022-10-26,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,24,弁当
40,2016-06-10,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,24,弁当
41,2021-03-10,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,48,弁当
42,2022-03-21,1QJFO8QY,商品サンプル 1QJFO8QY,600,15,48,弁当
43,2018-04-25,1QJFO8QY,商品サンプル 1QJFO8QY,600,45,48,弁当
44,2018-11-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,45,60,弁当
45,2022-01-29,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,60,弁当
46,2024-12-23,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,18,弁当
47,2018-09-04,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,48,弁当
48,2020-08-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,12,弁当
49,2024-11-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,15,36,弁当
50,2016-11-11,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,0,弁当
51,2023-03-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,30,30,弁当
52,2023-08-15,1QJFO8QY,商品サンプル 1QJFO8QY,600,30,24,弁当
53,2016-12-18,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,24,弁当
54,2017-11-25,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,36,弁当
55,2017-02-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,6,弁当
56,2015-09-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,30,弁当
57,2020-10-17,1QJFO8QY,商品サンプル 1QJFO8QY,600,0,24,弁当
58,2023-05-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,12,弁当
59,2023-03-12,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,0,弁当
60,2015-03-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,40,36,弁当
61,2021-11-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,54,弁当
62,2015-10-14,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,54,弁当
63,2021-08-20,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,12,弁当
64,2020-11-22,1QJFO8QY,商品サンプル 1QJFO8QY,600,35,54,弁当
65,2017-05-14,1QJFO8QY,商品サンプル 1QJFO8QY,600,20,54,弁当
66,2020-04-19,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,54,弁当
67,2017-11-15,1QJFO8QY,商品サンプル 1QJFO8QY,600,25,48,弁当
68,2018-05-27,1QJFO8QY,商品サンプル 1QJFO8QY,600,50,48,弁当
69,2018-11-16,1QJFO8QY,商品サンプル 1QJFO8QY,600,5,60,弁当
70,2021-08-02,1QJFO8QY,商品サンプル 1QJFO8QY,600,10,42,弁当
71,2016-01-06,MESUDVWQ,商品サンプル MESUDVWQ,660,10,42,菓子類
72,2017-09-12,MESUDVWQ,商品サンプル MESUDVWQ,660,45,48,菓子類
73,2022-11-30,MESUDVWQ,商品サンプル MESUDVWQ,660,0,54,菓子類
74,2020-02-17,MESUDVWQ,商品サンプル MESUDVWQ,660,25,48,菓子類
75,2017-10-11,MESUDVWQ,商品サンプル MESUDVWQ,660,20,54,菓子類
76,2023-03-07,MESUDVWQ,商品サンプル MESUDVWQ,660,5,18,菓子類
77,2015-07-10,MESUDVWQ,商品サンプル MESUDVWQ,660,10,54,菓子類
78,2018-04-01,MESUDVWQ,商品サンプル MESUDVWQ,660,40,60,菓子類
79,2018-10-28,MESUDVWQ,商品サンプル MESUDVWQ,660,45,54,菓子類
80,2022-04-15,MESUDVWQ,商品サンプル MESUDVWQ,660,25,48,菓子類
81,2019-05-28,MESUDVWQ,商品サンプル MESUDVWQ,660,10,6,菓子類
82,2019-04-13,MESUDVWQ,商品サンプル MESUDVWQ,660,40,60,菓子類
83,2018-04-08,MESUDVWQ,商品サンプル MESUDVWQ,660,5,48,菓子類
84,2019-11-12,MESUDVWQ,商品サンプル MESUDVWQ,660,10,0,菓子類
85,2017-07-29,MESUDVWQ,商品サンプル MESUDVWQ,660,25,60,菓子類
86,2015-08-03,MESUDVWQ,商品サンプル MESUDVWQ,660,45,42,菓子類
87,2022-05-09,MESUDVWQ,商品サンプル MESUDVWQ,660,35,48,菓子類
88,2022-01-07,S6RE8W6X,商品サンプル S6RE8W6X,720,25,54,図書・新聞
89,2023-05-16,S6RE8W6X,商品サンプル S6RE8W6X,720,20,6,図書・新聞
90,2020-07-20,S6RE8W6X,商品サンプル S6RE8W6X,720,20,24,図書・新聞
91,2018-04-06,S6RE8W6X,商品サンプル S6RE8W6X,720,25,48,図書・新聞
92,2019-06-22,S6RE8W6X,商品サンプル S6RE8W6X,720,25,12,図書・新聞
93,2016-09-03,S6RE8W6X,商品サンプル S6RE8W6X,720,25,54,図書・新聞
94,2019-05-22,S6RE8W6X,商品サンプル S6RE8W6X,720,35,36,図書・新聞
95,2022-07-23,S6RE8W6X,商品サンプル S6RE8W6X,720,50,0,図書・新聞
96,2015-11-26,S6RE8W6X,商品サンプル S6RE8W6X,720,25,6,図書・新聞
97,2021-12-09,S6RE8W6X,商品サンプル S6RE8W6X,720,25,60,図書・新聞
98,2023-02-06,S6RE8W6X,商品サンプル S6RE8W6X,720,15,24,図書・新聞
99,2021-07-23,S6RE8W6X,商品サンプル S6RE8W6X,720,10,60,図書・新聞
100,2024-12-26,S6RE8W6X,商品サンプル S6RE8W6X,720,0,54,図書・新聞
101,2018-07-27,S6RE8W6X,商品サンプル S6RE8W6X,720,0,24,図書・新聞
102,2020-07-07,S6RE8W6X,商品サンプル S6RE8W6X,720,40,48,図書・新聞
103,2022-04-01,S6RE8W6X,商品サンプル S6RE8W6X,720,20,42,図書・新聞
104,2015-05-24,S6RE8W6X,商品サンプル S6RE8W6X,720,5,60,図書・新聞
105,2022-11-01,S6RE8W6X,商品サンプル S6RE8W6X,720,15,42,図書・新聞
106,2020-10-25,S6RE8W6X,商品サンプル S6RE8W6X,720,15,0,図書・新聞
107,2018-09-29,S6RE8W6X,商品サンプル S6RE8W6X,720,35,12,図書・新聞
108,2015-07-21,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,6,飲料水
109,2021-10-27,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,20,18,飲料水
110,2020-07-26,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,30,0,飲料水
111,2020-12-13,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,30,0,飲料水
112,2023-11-09,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,12,飲料水
113,2022-11-30,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,15,6,飲料水
114,2020-02-03,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,0,0,飲料水
115,2024-12-24,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,30,54,飲料水
116,2022-03-07,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,45,42,飲料水
117,2022-04-05,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,10,0,飲料水
118,2021-03-31,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,30,飲料水
119,2021-01-31,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,25,48,飲料水
120,2023-11-28,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,35,60,飲料水
121,2019-05-28,X0ZE2ZMY,商品サンプル X0ZE2ZMY,90,45,30,飲料水
122,2015-03-09,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,36,菓子類
123,2022-05-30,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,12,菓子類
124,2022-10-11,8T7D5DQA,商品サンプル 8T7D5DQA,120,25,36,菓子類
125,2018-01-01,8T7D5DQA,商品サンプル 8T7D5DQA,120,30,12,菓子類
126,2019-06-05,8T7D5DQA,商品サンプル 8T7D5DQA,120,25,0,菓子類
127,2024-08-02,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,0,菓子類
128,2023-02-14,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,36,菓子類
129,2023-06-24,8T7D5DQA,商品サンプル 8T7D5DQA,120,10,18,菓子類
130,2015-07-25,8T7D5DQA,商品サンプル 8T7D5DQA,120,10,36,菓子類
131,2020-07-18,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,0,菓子類
132,2018-04-20,8T7D5DQA,商品サンプル 8T7D5DQA,120,40,54,菓子類
133,2015-01-02,8T7D5DQA,商品サンプル 8T7D5DQA,120,45,42,菓子類
134,2021-05-10,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,42,菓子類
135,2020-10-02,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,0,菓子類
136,2021-06-28,8T7D5DQA,商品サンプル 8T7D5DQA,120,50,0,菓子類
137,2021-03-17,8T7D5DQA,商品サンプル 8T7D5DQA,120,15,42,菓子類
138,2019-10-27,8T7D5DQA,商品サンプル 8T7D5DQA,120,35,18,菓子類
139,2021-03-27,8T7D5DQA,商品サンプル 8T7D5DQA,120,0,42,菓子類
140,2019-02-13,8T7D5DQA,商品サンプル 8T7D5DQA,120,20,42,菓子類
141,2024-05-04,8T7D5DQA,商品サンプル 8T7D5DQA,120,35,18,菓子類
142,2016-08-07,8T7D5DQA,商品サンプル 8T7D5DQA,120,0,42,菓子類
143,2018-11-08,48XMJXKO,商品サンプル 48XMJXKO,330,5,30,デザート
144,2023-05-25,48XMJXKO,商品サンプル 48XMJXKO,330,30,30,デザート
145,2015-11-29,48XMJXKO,商品サンプル 48XMJXKO,330,25,12,デザート
146,2016-09-06,48XMJXKO,商品サンプル 48XMJXKO,330,50,18,デザート
147,2019-11-08,48XMJXKO,商品サンプル 48XMJXKO,330,45,42,デザート
148,2017-01-29,48XMJXKO,商品サンプル 48XMJXKO,330,5,24,デザート
149,2016-12-04,48XMJXKO,商品サンプル 48XMJXKO,330,0,6,デザート
150,2018-03-01,48XMJXKO,商品サンプル 48XMJXKO,330,35,0,デザート
151,2020-09-12,48XMJXKO,商品サンプル 48XMJXKO,330,25,18,デザート
152,2015-06-22,48XMJXKO,商品サンプル 48XMJXKO,330,50,36,デザート
153,2017-01-09,QRMOGNUU,商品サンプル QRMOGNUU,420,30,48,雑貨
154,2017-06-16,QRMOGNUU,商品サンプル QRMOGNUU,420,10,42,雑貨
155,2021-11-21,QRMOGNUU,商品サンプル QRMOGNUU,420,45,12,雑貨
156,2018-01-03,QRMOGNUU,商品サンプル QRMOGNUU,420,0,54,雑貨
157,2021-08-09,QRMOGNUU,商品サンプル QRMOGNUU,420,50,12,雑貨
158,2016-12-20,QRMOGNUU,商品サンプル QRMOGNUU,420,10,54,雑貨
159,2021-12-31,QRMOGNUU,商品サンプル QRMOGNUU,420,50,48,雑貨
160,2016-11-02,QRMOGNUU,商品サンプル QRMOGNUU,420,40,30,雑貨
161,2019-09-26,QRMOGNUU,商品サンプル QRMOGNUU,420,5,30,雑貨
162,2024-01-31,QRMOGNUU,商品サンプル QRMOGNUU,420,10,18,雑貨
163,2019-08-06,QRMOGNUU,商品サンプル QRMOGNUU,420,35,6,雑貨
164,2016-03-22,QRMOGNUU,商品サンプル QRMOGNUU,420,20,36,雑貨
165,2018-05-17,QRMOGNUU,商品サンプル QRMOGNUU,420,0,48,雑貨
166,2023-01-27,QRMOGNUU,商品サンプル QRMOGNUU,420,45,6,雑貨
167,2024-03-12,QRMOGNUU,商品サンプル QRMOGNUU,420,5,12,雑貨
168,2024-04-27,QRMOGNUU,商品サンプル QRMOGNUU,420,20,36,雑貨
169,2024-01-25,QRMOGNUU,商品サンプル QRMOGNUU,420,50,6,雑貨
170,2016-10-24,QRMOGNUU,商品サンプル QRMOGNUU,420,20,48,雑貨
171,2021-02-02,QRMOGNUU,商品サンプル QRMOGNUU,420,15,30,雑貨
172,2020-12-27,QRMOGNUU,商品サンプル QRMOGNUU,420,20,30,雑貨
173,2018-06-29,QRMOGNUU,商品サンプル QRMOGNUU,420,35,36,雑貨
174,2019-06-06,QRMOGNUU,商品サンプル QRMOGNUU,420,5,54,雑貨
175,2015-02-22,QRMOGNUU,商品サンプル QRMOGNUU,420,50,24,雑貨
176,2015-07-31,QRMOGNUU,商品サンプル QRMOGNUU,420,50,36,雑貨
177,2024-03-17,QRMOGNUU,商品サンプル QRMOGNUU,420,20,60,雑貨
178,2024-08-16,QRMOGNUU,商品サンプル QRMOGNUU,420,45,30,雑貨
179,2022-08-29,QRMOGNUU,商品サンプル QRMOGNUU,420,40,48,雑貨
180,2019-08-13,2HSTCDWM,商品サンプル 2HSTCDWM,300,40,36,デザート
181,2021-05-06,2HSTCDWM,商品サンプル 2HSTCDWM,300,40,0,デザート
182,2024-04-04,2HSTCDWM,商品サンプル 2HSTCDWM,300,45,0,デザート
183,2018-08-07,2HSTCDWM,商品サンプル 2HSTCDWM,300,35,42,デザート
184,2015-01-09,2HSTCDWM,商品サンプル 2HSTCDWM,300,30,24,デザート
185,2019-09-14,2HSTCDWM,商品サンプル 2HSTCDWM,300,5,30,デザート
186,2020-11-28,2HSTCDWM,商品サンプル 2HSTCDWM,300,10,48,デザート
187,2019-11-27,2HSTCDWM,商品サンプル 2HSTCDWM,300,5,0,デザート
188,2024-06-13,2HSTCDWM,商品サンプル 2HSTCDWM,300,10,60,デザート
189,2024-07-31,2HSTCDWM,商品サンプル 2HSTCDWM,300,20,60,デザート
190,2017-05-06,2HSTCDWM,商品サンプル 2HSTCDWM,300,30,60,デザート
191,2019-04-15,2HSTCDWM,商品サンプル 2HSTCDWM,300,25,12,デザート
192,2020-08-05,2HSTCDWM,商品サンプル 2HSTCDWM,300,20,18,デザート
193,2016-07-28,2HSTCDWM,商品サンプル 2HSTCDWM,300,45,48,デザート
194,2016-04-30,2HSTCDWM,商品サンプル 2HSTCDWM,300,50,24,デザート
195,2019-04-29,2HSTCDWM,商品サンプル 2HSTCDWM,300,10,48,デザート
196,2022-11-10,2HSTCDWM,商品サンプル 2HSTCDWM,300,35,42,デザート
197,2015-02-08,2HSTCDWM,商品サンプル 2HSTCDWM,300,5,0,デザート
198,2019-03-30,2HSTCDWM,商品サンプル 2HSTCDWM,300,40,24,デザート
199,2022-05-15,2HSTCDWM,商品サンプル 2HSTCDWM,300,35,12,デザート
